Filename,1-50,50-1K,1K-10K,10K-50K,50K-100K,100K-250K,250K-500K,500K-1M
INV_L-B.txt,0,0,0,0,0,0,0,0
DUP_L-INV_L-J.txt,0,0,0,0,0,0,1,0
DUP_L-INV_L-F.txt,0,0,0,0,0,0,2,0
DUP_L-INV_L-E.txt,0,0,0,0,0,0,2,0
DEL_M-DUP_L-INV_L-D.txt,0,0,0,0,0,0,1,0
DEL_M-DUP_L-INV_L-A.txt,0,0,0,0,0,2,1,0
INV_L-K.txt,0,0,0,0,0,0,0,0
INV_L-H.txt,0,0,0,0,0,0,0,0
DEL_M-DUP_S-INV_M-A.txt,1,21,0,0,0,0,0,0
DEL_S-DUP_M-INV_L-A.txt,0,0,0,4,0,0,0,0
DEL_L-DUP_S-INV_S-A.txt,0,11,0,0,0,0,0,0
DEL_M-DUP_L-INV_L-I.txt,0,0,0,0,0,0,1,0
DEL_M-DUP_S-INV_L-A.txt,1,15,0,0,0,0,0,0
DEL_L-DUP_M-INV_L-B.txt,0,0,6,6,0,0,0,0
INV_L-F.txt,0,0,0,0,0,0,0,0
DUP_L-INV_L-I.txt,0,0,0,0,0,0,3,0
DEL_S-DEL_M-DUP_L-INV_L-A.txt,0,0,0,0,1,1,0,0
DEL_L-DUP_L-INV_S-A.txt,0,0,0,0,3,1,0,0
DUP_L-INV_L-G.txt,0,0,0,0,0,0,1,0
DEL_M-DUP_L-INV_L-F.txt,0,0,0,0,0,2,0,0
DEL_M-INV_L-A.txt,0,0,0,0,0,0,0,0
DEL_M-DUP_L-INV_M-A.txt,0,0,0,0,0,1,1,0
INV_L-A.txt,0,0,0,0,0,0,0,0
DEL_M-DUP_L-INV_L-B.txt,0,0,0,0,2,1,0,0
DUP_L-A.txt,0,0,0,0,0,0,3,0
DEL_S-DUP_L-INV_L-A.txt,0,0,0,0,3,0,1,0
INV_L-L.txt,0,0,0,0,0,0,0,0
DUP_L-INV_L-C.txt,0,0,0,0,0,0,2,0
DEL_S-DUP_L-INV_L-C.txt,0,0,0,0,0,2,0,0
DEL_L-DUP_M-INV_S-A.txt,0,0,0,11,0,0,0,0
INV_L-D.txt,0,0,0,0,0,0,0,0
INV_L-C.txt,0,0,0,0,0,0,0,0
DEL_M-DUP_M-INV_L-A.txt,0,0,0,21,0,0,0,0
DUP_L-INV_L-B.txt,0,0,0,0,0,0,1,0
DEL_S-DUP_L-INV_M-B.txt,0,0,0,0,5,0,0,0
DUP_L-INV_L-D.txt,0,0,0,0,0,0,2,0
DEL_M-DUP_M-INV_S-A.txt,0,0,0,11,0,0,0,0
DEL_L-DUP_S_INV_M-B.txt,0,13,0,0,0,0,0,0
DEL_L-DUP_S-INV_L-A.txt,20,1,0,0,0,0,0,0
DEL_S-DUP_L-INV_L-E.txt,0,0,0,0,0,0,1,0
INV_L-I.txt,0,0,0,0,0,0,0,0
DEL_S-DUP_L-INV_M-A.txt,0,0,0,0,3,0,1,0
DEL_M-DUP_M-INV_S-B.txt,0,0,2,11,0,0,0,0
DEL_S-DUP_L-INV_L-B.txt,0,0,0,0,1,0,0,0
DEL_S-DUP_L-INV_L-D.txt,0,0,0,0,0,2,0,0
DEL_L-DUP_M-INV_S-B.txt,0,0,0,5,0,0,0,0
DEL_L-DUP_L-INV_M-A.txt,0,0,0,0,5,2,0,0
325000.txt,0,0,0,0,0,0,0,0
INV_L-G.txt,0,0,0,0,0,0,0,0
DEL_L-DUP_M-INV_M-A.txt,0,0,5,6,0,0,0,0
DEL_L-DUP_M-INV_L-A.txt,4,9,0,0,0,0,0,0
DEL_M-DUP_L-INV_L-H.txt,0,0,0,0,0,2,0,0
INV_L-J.txt,0,0,0,0,0,0,0,0
INV_L-E.txt,0,0,0,0,0,0,0,0
DEL_M-DUP_S-INV_S-A.txt,1,14,0,0,0,0,0,0
INV_L-N.txt,0,0,0,0,0,0,0,0
DEL_S-DUP_L-INV_S-A.txt,0,0,0,0,2,5,0,0
DUP_L-INV_L-A.txt,0,0,0,0,0,0,1,0
DEL_S-DUP_S-INV_L-A.txt,0,5,0,0,0,0,0,0
DEL_M-DUP_L-INV_L-G.txt,0,0,0,0,0,1,0,0
INV_L-M.txt,0,0,0,0,0,0,0,0
DUP_L-B.txt,0,0,0,0,0,0,3,0
DEL_S-DUP_M-INV_S-A.txt,0,0,9,4,0,0,0,0
DEL_S-DUP_S-INV_M-A.txt,0,9,0,0,0,0,0,0
DEL_M-DUP_S-INV_L-B.txt,0,19,0,0,0,0,0,0
DUP_L-INV_L-K.txt,0,0,0,0,0,0,2,0
DEL_M-DUP_L-INV_S-B.txt,0,0,0,0,0,1,0,0
DEL_M-DUP_L-INV_L-C.txt,0,0,0,0,3,2,0,0
DUP_L-INV_L-H.txt,0,0,0,0,0,0,1,0
DEL_S-DUP_S-INV_S-A.txt,4,6,0,0,0,0,0,0
DEL_L-DUP_L-INV_L-A.txt,0,0,0,0,2,2,0,0
DEL_L-A.txt,0,0,0,0,0,0,0,0
DEL_S-DUP_M-INV_M-A.txt,0,0,9,1,0,0,0,0
DEL_M-DUP_L-INV_L-E.txt,0,0,0,0,0,3,0,0
DEL_M-DUP_M-INV_M-A.txt,0,0,13,0,0,0,0,0
INV_J.txt.txt,0,0,0,0,0,0,0,0
Total,31,123,44,80,30,30,31,0
