Filename,1-50,50-2500,2500-3500,3500-45K,45K-80K,80K-115K,115K-180K,180K-260K,260K-300K,300K-375K,375K-500K,500K-1M
INV_L-B.txt,0,0,0,0,0,0,1,2,0,0,0,0
DUP_L-INV_L-J.txt,0,0,0,0,0,0,0,2,1,0,0,0
DUP_L-INV_L-F.txt,0,0,0,0,0,0,0,0,1,0,0,0
DUP_L-INV_L-E.txt,0,0,0,0,0,0,0,1,0,0,0,0
DEL_M-DUP_L-INV_L-D.txt,0,0,0,0,0,0,2,0,0,0,0,0
DEL_M-DUP_L-INV_L-A.txt,0,0,0,0,0,1,0,1,1,0,0,0
INV_L-K.txt,0,0,0,0,0,0,0,0,3,0,0,0
INV_L-H.txt,0,0,0,0,0,0,0,0,3,0,0,0
DEL_M-DUP_S-INV_M-A.txt,0,0,0,12,0,0,0,0,0,0,0,0
DEL_S-DUP_M-INV_L-A.txt,0,0,0,0,0,0,2,1,0,0,0,0
DEL_L-DUP_S-INV_S-A.txt,0,18,0,0,0,0,0,0,0,0,0,0
DEL_M-DUP_L-INV_L-I.txt,0,0,0,0,0,0,0,1,0,0,0,0
DEL_M-DUP_S-INV_L-A.txt,0,0,0,0,0,0,0,0,0,1,0,0
DEL_L-DUP_M-INV_L-B.txt,0,0,0,0,5,3,0,0,0,0,0,0
INV_L-F.txt,0,0,0,0,0,0,5,0,0,0,0,0
DUP_L-INV_L-I.txt,0,0,0,0,0,0,0,1,0,0,0,0
DEL_S-DEL_M-DUP_L-INV_L-A.txt,0,0,0,0,0,0,1,0,0,0,0,0
DEL_L-DUP_L-INV_S-A.txt,4,16,0,0,0,0,0,0,0,0,0,0
DUP_L-INV_L-G.txt,0,0,0,0,0,0,0,2,0,0,0,0
DEL_M-DUP_L-INV_L-F.txt,0,0,0,0,0,3,0,0,0,0,0,0
DEL_M-INV_L-A.txt,0,0,0,0,0,0,2,0,0,0,0,0
DEL_M-DUP_L-INV_M-A.txt,1,10,0,0,0,0,0,0,0,0,0,0
INV_L-A.txt,0,0,0,0,0,4,2,0,0,0,0,0
DEL_M-DUP_L-INV_L-B.txt,0,0,0,0,6,0,0,0,0,0,0,0
DUP_L-A.txt,0,0,0,0,0,0,0,0,0,0,0,0
DEL_S-DUP_L-INV_L-A.txt,0,0,0,0,4,0,0,0,1,0,0,0
INV_L-L.txt,0,0,0,0,0,0,0,0,3,0,0,0
